#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
A Farewell to Arms;6.6;79;Drama|Romance|War;Frank Borzage;Gary Cooper;Helen Hayes;Adolphe Menjou;1910s|ambulance driver|italy|lake|nurse
A Few Good Men;7.6;138;Drama|Thriller;Rob Reiner;Tom Cruise;Demi Moore;Kevin Pollak;cuba|guantanamo|lance corporal|lawyer|murder
A Fine Step;5.3;111;Drama;Jonathan Meyers;Justin Baldoni;Luke Perry;Leonor Varela;
A Fistful of Dollars;8;99;Action|Drama|Western;Sergio Leone;Clint Eastwood;Gian Maria Volontè;Aldo Sambrell;balladeer|bar|drifter|mexican|revenge
A Funny Thing Happened on the Way to the Forum;7;99;Comedy|Musical;Richard Lester;Buster Keaton;Zero Mostel;Phil Silvers;based on stage musical|based on stage musical based on stage play|freedom|historical fiction|virgin
A Good Day to Die Hard;5.3;101;Action|Thriller;John Moore;Bruce Willis;Cole Hauser;Megalyn Echikunwoke;bomb|cia|courthouse|escape|russian
A Good Year;6.9;117;Comedy|Drama|Romance;Ridley Scott;Archie Panjabi;Albert Finney;Richard Coyle;based on novel|inheritance|provence|uncle|wine
A Guy Named Joe;7;122;Drama|Fantasy|Romance|War;Victor Fleming;Spencer Tracy;Esther Williams;Irene Dunne;heaven|pilot|teacher|training|world war two
A Guy Thing;5.6;101;Comedy|Romance;Chris Koch;Thomas Lennon;Lochlyn Munro;James Brolin;bachelor party|climbing a tree|taxi|toilet|wedding
A Hard Day's Night;7.7;87;Comedy|Musical;Richard Lester;Paul McCartney;Ringo Starr;George Harrison;boy|concert|drummer|manager|television
A Haunted House;5.1;86;Comedy|Fantasy;Michael Tiddes;Essence Atkins;Alanna Ubach;J.B. Smoove;hamburger|parody|priest|psychic|woman in a bikini
A Haunted House 2;4.7;86;Comedy|Fantasy;Michael Tiddes;Ashley Rickards;Essence Atkins;Gabriel Iglesias;bare breasts|parody|sexual innuendo|slip and fall|squirting orgasm
A History of Violence;7.5;96;Crime|Drama|Thriller;David Cronenberg;Viggo Mortensen;Kyle Schmid;William Hurt;bar|crotch shot|female full frontal nudity|female pubic hair|robbery
A Home at the End of the World;6.8;97;Drama|Romance;Michael Mayer;Robin Wright;Matt Frewer;Sissy Spacek;hand job|hugging|long hair|new york city|two men one woman
A Knight's Tale;6.9;144;Action|Adventure|Romance;Brian Helgeland;Heath Ledger;Rufus Sewell;Bérénice Bejo;chaucer|jousting|knight|medieval times|tournament
A League of Their Own;7.2;128;Comedy|Drama|Sport;Penny Marshall;Tom Hanks;Lori Petty;Rosie O'Donnell;baseball|friend|oregon|rivalry|softball
A Lego Brickumentary;6.8;93;Documentary;Kief Davidson;G.W. Krauss;Brian Whitaker;Jason Bateman;artist|denmark|lego|toy|toy company
A Lonely Place to Die;6.3;99;Action|Adventure|Crime|Thriller;Julian Gilbey;Ed Speleers;Eamonn Walker;Sean Harris;kidnapper|mountaineering|scotland|scottish highlands|sniper
A Lot Like Love;6.6;107;Comedy|Drama|Romance;Nigel Cole;Aimee Garcia;Tyrone Giordano;James Read;flight|hasselblad camera|los angeles california|love|medium format camera
A Low Down Dirty Shame;5.8;100;Action|Comedy|Crime;Keenen Ivory Wayans;Jada Pinkett Smith;Salli Richardson-Whitfield;Charles S. Dutton;drugs|ex cop|gun fu|machismo|shootout
A Madea Christmas;4.7;100;Comedy|Drama;Tyler Perry;Alicia Witt;Tika Sumpter;Larry the Cable Guy;christmas|holiday|madea series|rural setting|stubbornness
A Man Apart;6.1;109;Action|Crime|Drama|Thriller;F. Gary Gray;Vin Diesel;Jeff Kober;Larenz Tate;bust|dea|drug cartel|justice|tragic hero
A Man for All Seasons;7.9;120;Biography|Drama|History;Fred Zinnemann;Robert Shaw;Susannah York;Paul Scofield;catholic|chancellor|divorce|king henry viii|thomas more
A Mighty Heart;6.7;108;Biography|Drama|History|Thriller|War;Michael Winterbottom;Angelina Jolie Pitt;Archie Panjabi;Dan Futterman;fbi|journalist|missing|pakistan|reporter
A Mighty Wind;7.3;91;Comedy|Music;Christopher Guest;Michael McKean;Christopher Guest;Laura Harris;concert|mockumentary|musician|new york city|singer
A Million Ways to Die in the West;6.1;136;Comedy|Western;Seth MacFarlane;Liam Neeson;Charlize Theron;Seth MacFarlane;dancing sheep|fetish|musical scene|racial humor|snake poison
A Monster in Paris;6.8;90;Adventure|Animation|Comedy|Fantasy|Music|Romance;Bibo Bergeron;Adam Goldberg;Bob Balaban;François Cluzet;belle epoque|city name in title|monster|paris france
A Most Violent Year;7;125;Action|Crime|Drama|Thriller;J.C. Chandor;David Oyelowo;Ashley Williams;Albert Brooks;american dream|immigrant|new york city|oil|violence
A Most Wanted Man;6.8;122;Crime|Drama|Thriller;Anton Corbijn;Philip Seymour Hoffman;Nina Hoss;Homayoun Ershadi;intelligence|intelligence agency|secret service|surveillance camera|war on terror
A Night at the Roxbury;6.2;82;Comedy|Music|Romance;John Fortenberry;Will Ferrell;Chris Kattan;Dan Hedaya;1990s|bar|car accident|nightclub|whipped cream
A Nightmare on Elm Street;7.5;101;Horror;Wes Craven;Johnny Depp;Lin Shaye;Amanda Wyss;freddy krueger|lucid dream|serial killer|slasher|sleep deprivation
A Nightmare on Elm Street;7.5;101;Horror;Wes Craven;Johnny Depp;Lin Shaye;Amanda Wyss;freddy krueger|lucid dream|serial killer|slasher|sleep deprivation
A Nightmare on Elm Street 2: Freddy's Revenge;5.4;87;Fantasy|Horror;Jack Sholder;Clu Gulager;Robert Rusler;Marshall Bell;freddy krueger|gay|gay subtext|homoeroticism|jock strap
A Nightmare on Elm Street 3: Dream Warriors;6.6;88;Action|Fantasy|Horror|Thriller;Chuck Russell;John Saxon;Heather Langenkamp;Jennifer Rubin;dream|freddy krueger|killer|nightmare|springwood ohio
A Nightmare on Elm Street 4: The Dream Master;5.7;99;Fantasy|Horror|Thriller;Renny Harlin;Tuesday Knight;Rodney Eastman;Brooke Bundy;demon|dream|elm street|freddy krueger|nightmare
A Nightmare on Elm Street 5: The Dream Child;5.1;89;Fantasy|Horror|Romance|Thriller;Stephen Hopkins;Lisa Wilcox;Kelly Jo Minter;Matthew Borlenghi;child|comic book|dream|murderer|nightmare
A Passage to India;7.4;164;Adventure|Drama|History;David Lean;Richard Wilson;Judy Davis;Art Malik;doctor|english|india|magistrate|mosque
A Perfect Getaway;6.5;108;Adventure|Mystery|Thriller;David Twohy;Chris Hemsworth;Milla Jovovich;Marley Shelton;cliff|hawaii|island|newlywed|waterfall
A Perfect Plan;6.3;104;Comedy|Romance;Pascal Chaumeil;Dany Boon;Malonn Lévana;Alice Pol;curse|divorce|marriage|tourism|travel
A Plague So Pleasant;6.3;76;Drama|Horror|Thriller;Benjamin Roberds;Eva Boehnke;Maxwell Moody;David Chandler;
A Prairie Home Companion;6.8;105;Comedy|Drama|Music;Robert Altman;Meryl Streep;Virginia Madsen;Lily Tomlin;backstage|country music|cowboy|radio|singing
A Room for Romeo Brass;7.7;90;Comedy|Drama;Shane Meadows;Bob Hoskins;Paddy Considine;Shane Meadows;betrayal|family relationships|friendship|psychosis|stranger
A Room with a View;7.4;117;Drama|Romance;James Ivory;Julian Sands;Rupert Graves;Denholm Elliott;male nudity|male pubic hair|nude bathing|piano|pubic hair
A Scanner Darkly;7.1;100;Animation|Drama|Mystery|Sci-Fi|Thriller;Richard Linklater;Robert Downey Jr.;Keanu Reeves;Rory Cochrane;detective|drugs|substance d|undercover|undercover cop
A Separation;8.4;123;Drama|Mystery;Asghar Farhadi;Shahab Hosseini;Leila Hatami;Peyman Moaadi;alzheimer's disease|caregiver|divorce|iran|iranian
A Serious Man;7;106;Comedy|Drama;Ethan Coen;Michael Stuhlbarg;Fred Melamed;Peter Breitmayer;bar mitzvah|jewish|marital breakup|nose job|rabbi
A Shine of Rainbows;7.2;101;Drama|Family;Vic Sarin;Connie Nielsen;Aidan Quinn;John Bell;island|love|new home|orphan|rainbow
A Simple Plan;7.5;121;Crime|Drama|Thriller;Sam Raimi;Gary Cole;Bridget Fonda;Chelcie Ross;bag of money|found money|minnesota|screenplay adapted by author|snow
A Simple Wish;5.4;89;Comedy|Family|Fantasy;Michael Ritchie;Mara Wilson;Francis Capra;Kathleen Turner;8 year old|convention|magic|magic wand|male fairy godmother
A Single Man;7.6;99;Drama|Romance;Tom Ford;Colin Firth;Teddy Sears;Keri Lynn Pratt;car accident|male full back nudity|practicing a suicide|public nudity|suicide contemplation
A Sound of Thunder;4.2;102;Action|Adventure|Horror|Sci-Fi|Thriller;Peter Hyams;David Oyelowo;Catherine McCormack;Jemima Rooper;butterfly|hunter|time|time travel|wave
A Streetcar Named Desire;8;125;Drama;Elia Kazan;Marlon Brando;Karl Malden;Kim Hunter;brother in law sister in law relationship|expectant father|histrionic personality disorder|middle aged woman|off screen rape
A Tale of Three Cities;6.2;130;Drama;Mabel Cheung;Wei Tang;Ching Wan Lau;Hailu Qin;
A Thin Line Between Love and Hate;5.6;108;Comedy|Crime|Drama|Romance|Thriller;Martin Lawrence;Faizon Love;Lynn Whitfield;Della Reese;african american|dating|independent film|irreverence|revenge
A Thousand Words;5.9;91;Comedy|Drama;Brian Robbins;John Gatins;Lou Saliba;Greg Collins;box office flop|buddhist|liar|literary agent|magical tree
A Time to Kill;7.4;149;Crime|Drama|Thriller;Joel Schumacher;Kevin Spacey;Matthew McConaughey;Oliver Platt;african american|court|law|mississippi|trial
A Touch of Frost;7.8;105;Crime|Drama|Mystery;;David Jason;Bruce Alexander;John Lyons;cult tv|death|detective inspector|four word title|internal affairs
A True Story;5.5;96;Comedy;Malcolm Goodwin;Katrina Bowden;Jon Gries;Kelen Coleman;ellipsis in title|long title|period in title|punctuation in title|title ends with period
A Turtle's Tale: Sammy's Adventures;6.1;88;Adventure|Animation|Family;Ben Stassen;Ed Begley Jr.;Jenny McCarthy;Stacy Keach;apostrophe in title|character name in title|punctuation in title|sea turtle
A Very Harold & Kumar 3D Christmas;6.3;90;Adventure|Comedy;Todd Strauss-Schulson;Patton Oswalt;Thomas Lennon;Paula Garcés;christmas|christmas tree|fire|new york city|stoner
A Very Long Engagement;7.7;133;Drama|Mystery|Romance|War;Jean-Pierre Jeunet;Denis Lavant;André Dussollier;Albert Dupontel;court martial|death|girl|no man's land|soldier
A View to a Kill;6.3;131;Action|Adventure|Thriller;John Glen;Patrick Macnee;Alison Doody;Tanya Roberts;computer|earthquake|microchip|official james bond series|silicon valley
A Walk Among the Tombstones;6.5;114;Crime|Drama|Mystery|Thriller;Scott Frank;Liam Neeson;Boyd Holbrook;David Harbour;drug dealer|ex cop|murder of wife|revenge|violence
A Walk on the Moon;6.6;107;Drama;Tony Goldwyn;Viggo Mortensen;Julie Kavner;Tovah Feldshuh;adulterous wife|cheating wife|summer|unfaithfulness|woodstock
A Walk to Remember;7.4;101;Drama|Romance;Adam Shankman;Lauren German;Peter Coyote;Paz de la Huerta;community service|love|punishment|school|student
A Warrior's Tail;4.1;85;Adventure|Animation|Fantasy;Maksim Fadeev;Konstantin Khabenskiy;Fedor Bondarchuk;Sergey Garmash;battle|creature|hyena|monkey|village
A Woman, a Gun and a Noodle Shop;5.7;95;Comedy|Drama;Yimou Zhang;Honglei Sun;Ni Yan;Dahong Ni;betrayal|husband wife relationship|murder|noodles|salary
A Woman, a Gun and a Noodle Shop;5.7;95;Comedy|Drama;Yimou Zhang;Honglei Sun;Ni Yan;Dahong Ni;betrayal|husband wife relationship|murder|noodles|salary
A.I. Artificial Intelligence;7.1;146;Adventure|Drama|Sci-Fi;Steven Spielberg;Haley Joel Osment;William Hurt;Kevin Sussman;affection|boy|fairy|future|robot
